issue,priority
"Fuga de agua en el baño","high"
"Bombilla quemada en la habitación","low"
"Aire acondicionado no enfría","high"
"La puerta del armario está suelta","normal"
"Internet no funciona en la habitación 203","high"
"Ruido del extractor de cocina","normal"
"Manija rota en la puerta principal","high"
"Sensor de humo disparado sin motivo","high"
"Televisor no enciende","low"
"Calefacción demasiado alta","normal"
"Goteo del grifo de la cocina","normal"
"Ventana que no cierra bien","normal"
"Problema con la cerradura de la caja fuerte","high"
"Puerta del refrigerador atascada","normal"
"Ascensor detenido entre pisos","high"
"Falla en el sistema de iluminación del pasillo","normal"
"Filtración de aire en la ventana de la sala","normal"
"Problema con la señal de TV cable","low"
"Desperfecto en el mobiliario del comedor","normal"
"Alarma de seguridad activada accidentalmente","high"
"No sirve el control remoto","low"
